Country,GDPperCapita,AvgYearsofSchooling
Liechtenstein,59226.32926,12.0910468
Monaco,59153.37679,12.58561939
Luxembourg,58407.62273,11.66677475
Singapore,58335.14288,11.05861085
Ireland,58224.68128,12.52585342
Qatar,58205.49304,12.23268395
Isle of Man,57972.28995,11.6311173
Bermuda,57784.3904,10.69560068
Switzerland,57092.14408,12.00805142
Falkland Islands (Islas Malvinas),56984.2467,10.67701737
United Arab Emirates,56631.67253,11.41756808
Cayman Islands,56430.43755,10.96207782
Norway,56267.06934,10.27508917
Macau,55852.16149,11.11737584
United States,55556.92348,12.01150863
Gibraltar,55390.57987,11.23467626
Brunei,54649.90372,11.66412538
Hong Kong,54587.68727,10.481247
Denmark,54546.42196,10.14142967
Netherlands,54124.66537,11.40416936
Jersey,54014.69712,11.03937555
San Marino,53935.72972,11.37030403
Sweden,53929.50534,10.66896207
Austria,53869.3867,10.78014986
Iceland,53794.81368,10.51012864
Germany,53660.98091,9.822804202
Guernsey,53630.74676,10.66347064
Belgium,53345.55181,10.015699
Andorra,53338.09903,11.44302817
Australia,52763.02185,11.45381866
Finland,52416.17482,10.28024443
Bahrain,52104.3926,9.982423245
Canada,51923.10213,9.926284928
Taiwan,51783.10441,9.409643504
United Kingdom,51104.18122,9.973355415
Saint Pierre and Miquelon,50282.84724,9.738176528
France,50114.11581,10.93068032
Malta,49895.51304,9.053798985
Saudi Arabia,49262.87119,10.13741279
"Korea, South",49216.10981,9.740113006
Kuwait,49112.22428,9.903715099
New Zealand,48695.44354,10.49383485
Israel,48679.10239,9.082224219
Italy,48638.96915,9.979513662
Greenland,48416.65254,9.915030704
Cyprus,48329.62186,10.20591148
Japan,47325.38172,8.804061838
Czechia,47012.65721,9.104361466
Slovenia,46732.83658,10.126578
Faroe Islands,46562.44139,8.483183208
Lithuania,46504.95045,10.25269425
Aruba,46487.06362,8.857280517
Estonia,45935.5573,8.751180606
Spain,45886.31787,9.606455419
Virgin Islands,45577.51717,9.826424603
New Caledonia,45042.9929,9.980600708
Guam,44187.64257,8.8428027
Sint Maarten,44046.76452,9.201301317
Poland,44011.42291,9.25446725
Oman,43964.76457,9.294182417
British Virgin Islands,43831.38505,8.865334775
Montserrat,43081.44245,8.714741819
Portugal,43018.57406,8.344999106
Hungary,42776.28209,8.84620101
Puerto Rico,42704.58329,8.81577646
Latvia,42478.11857,9.418004843
Slovakia,41821.81666,7.534038761
Croatia,41765.32655,9.144111767
Turkey (Turkiye),41369.74856,8.678917881
Romania,40976.29735,8.704345218
"Bahamas, The",40655.9973,8.73816132
Greece,40146.60438,7.174846888
Panama,40088.81478,8.040447753
Seychelles,39939.05872,8.251486168
Russia,39799.16065,7.126833563
Saint Kitts and Nevis,39465.71431,8.866422019
Malaysia,39328.34104,8.372424579
Kazakhstan,39065.19463,8.465953859
Chile,38879.86712,7.010107457
Northern Mariana Islands,38615.89081,7.541084051
Bulgaria,38548.21426,7.42158821
Trinidad and Tobago,38378.25293,7.500885941
Uruguay,38370.82163,7.541867625
Libya,38352.98598,6.853009402
Guyana,38306.04401,8.642219085
Argentina,37774.58948,7.432860738
Costa Rica,37099.32079,8.125883069
Mauritius,36964.2957,7.030810402
Curacao,36845.14626,6.56338224
Montenegro,36779.31452,6.558108256
Belarus,36465.78569,6.341789071
Serbia,36320.85057,7.417977883
Saint Martin,36276.09875,6.44318363
Mexico,35952.45956,7.582551506
Antigua and Barbuda,35862.68365,7.674278865
Maldives,34530.2076,7.460335351
Dominican Republic,34115.35466,7.143465685
