Country,Population,AverageAnnualRainfall
India,1428627663,70.92201651
China,1425671352,81.6843334
United States,339996563,195.262761
Indonesia,277534122,127.2801053
Pakistan,240485658,37.19431725
Nigeria,223804632,180.35595
Brazil,216422446,194.8909664
Bangladesh,172954319,35.29221643
Russia,144444359,81.97609746
Mexico,128455567,139.766592
Ethiopia,126527060,156.0943708
Japan,123294513,14.21510099
Philippines,117337368,81.96679893
Egypt,112716598,96.31091472
DR Congo,102262808,48.96473643
Vietnam,98858950,160.4453895
Iran,89172767,185.5679342
Turkey,85816199,174.9772103
Germany,83294633,146.8980517
Thailand,71801279,110.6696044
United Kingdom,67736802,167.9605831
Tanzania,67438106,125.5366914
France,64756584,140.0685941
South Africa,60414495,18.71364062
Italy,58870762,54.31111819
Kenya,55100586,118.8986614
Myanmar,54577997,48.95034391
Colombia,52085168,125.4354922
South Korea,51784059,52.81323157
Uganda,48582334,44.21278175
Sudan,48109006,111.7137572
Spain,47519628,161.3296374
Argentina,45773884,112.0800492
Algeria,45606480,187.4014465
Iraq,45504560,95.87023425
Afghanistan,42239854,70.07735064
Poland,41026067,181.5987011
Canada,38781291,26.05823146
Morocco,37840044,114.2559087
Saudi Arabia,36947025,54.78143175
Ukraine,36744634,26.58513412
Angola,36684202,115.4149656
Uzbekistan,35163944,15.78970902
Yemen,34449825,120.1334875
Peru,34352719,48.8634727
Malaysia,34308525,21.84485888
Ghana,34121985,152.4270841
Mozambique,33897354,56.42709954
Nepal,30896590,110.9404933
Madagascar,30325732,45.41694749
Ivory Coast,28873034,119.7223915
Venezuela,28838499,19.8107408
Cameroon,28647293,145.080971
Niger,27202843,101.4176249
Australia,26439111,34.46219568
North Korea,26160821,77.63838201
Taiwan,23923276,106.1597517
Mali,23293698,131.4786578
Burkina Faso,23251485,140.6790962
Syria,23227014,53.51482428
Sri Lanka,21893579,133.2763397
Malawi,20931751,85.46112818
Zambia,20569737,170.4437278
Romania,19892812,120.9979021
Chile,19629590,77.46981762
Kazakhstan,19606633,125.1593574
Chad,18278568,149.9962703
Ecuador,18190484,44.63393691
Somalia,18143378,68.47767556
Guatemala,18092026,74.11489844
Senegal,17763163,111.6569791
Netherlands,17618299,154.3915277
Cambodia,16944826,100.4800324
Zimbabwe,16665409,91.9903472
Guinea,14190612,10.51507089
Rwanda,14094683,77.51886585
Benin,13712828,142.5519556
Burundi,13238559,18.91032888
Tunisia,12458223,124.3677252
Bolivia,12388571,107.8948504
Haiti,11724763,20.57416298
Belgium,11686140,26.69494114
Jordan,11337052,160.9149955
Dominican Republic,11332972,155.8781053
Cuba,11194449,36.37670695
South Sudan,11088796,71.10072529
Sweden,10612086,162.9584868
Honduras,10593798,66.61229579
Czech Republic,10495295,140.561446
Azerbaijan,10412651,169.9973689
Greece,10341277,47.90631619
Papua New Guinea,10329931,145.6186664
Portugal,10247605,182.9895429
Hungary,10156239,121.1055601
Tajikistan,10143543,19.13798235
United Arab Emirates,9516871,104.130489
Belarus,9498238,123.4828356
Israel,9174520,122.8377885
Togo,9053799,26.79756244
Austria,8958960,38.07042746
Switzerland,8796669,114.2345924
Sierra Leone,8791092,146.5068815
Laos,7633779,97.42264021
Hong Kong,7491609,96.83004166
Serbia,7149077,187.082725
Nicaragua,7046310,11.00700122
Libya,6888388,130.4141271
Paraguay,6861524,75.15610421
Kyrgyzstan,6735347,144.3737182
Bulgaria,6687717,122.0916205
Turkmenistan,6516100,13.46607147
El Salvador,6364943,150.8775731
Republic of the Congo,6106869,72.71890753
Singapore,6014723,74.89700999
Denmark,5910913,152.5953657
Slovakia,5795199,79.41779574
Central African Republic,5742315,170.0396667
Finland,5545475,182.4945648
Norway,5474360,88.21563073
Liberia,5418377,26.69864866
Palestine,5371230,61.04777158
Lebanon,5353930,93.36148832
New Zealand,5228100,39.82575972
Costa Rica,5212173,121.4417326
Ireland,5056935,142.4226778
Mauritania,4862989,76.00854756
Oman,4644384,142.3352786
Panama,4468087,86.05709289
Kuwait,4310108,22.58483579
Croatia,4008617,30.27285752
Eritrea,3748901,48.32878784
Georgia,3728282,161.9120549
Mongolia,3447157,75.56569929
Moldova,3435931,180.9330055
Uruguay,3423108,111.9522227
Puerto Rico,3260314,163.1143285
Bosnia and Herzegovina,3210847,158.4877515
Albania,2832439,103.2422681
Jamaica,2825544,99.9015782
Armenia,2777970,29.92514164
Gambia,2773168,114.2951762
Lithuania,2718352,169.3306862
Qatar,2716391,27.2903973
Botswana,2675352,54.86214129
Namibia,2604172,57.77406351
Gabon,2436566,193.9188726
Lesotho,2330318,102.6838622
Guinea-Bissau,2150842,198.2766005
Slovenia,2119675,149.8869649
North Macedonia,2085679,117.2471231
Latvia,1830211,104.6670626
Equatorial Guinea,1714671,176.9395319
Trinidad and Tobago,1534937,166.140221
Bahrain,1485509,176.1203449
Timor-Leste,1360596,180.9368146
Estonia,1322765,41.6788444
Mauritius,1300557,16.04288948
Cyprus,1260138,165.9636799
Eswatini,1210822,186.0253905
Djibouti,1136455,153.8298351
Reunion,981796,119.4396994
Fiji,936375,109.4844324
Comoros,852075,10.49305463
Guyana,813834,145.6721756
Bhutan,787424,103.8564826
Solomon Islands,740424,27.53521138
Macau,704149,153.3807055
Luxembourg,654768,166.7752086
Montenegro,626485,157.9286684
Suriname,623236,142.556839
Cape Verde,598682,49.7348503
Western Sahara,587259,73.23499932
Malta,535064,169.7348973
Maldives,521021,101.2087337
Brunei,452524,82.05343114
Bahamas,412623,97.27589351
Belize,410825,193.9150154
Guadeloupe,395839,29.55404584
Iceland,375318,22.65763135
Martinique,366981,32.17225219
Mayotte,335995,141.8063454
Vanuatu,334506,111.5404657
French Guiana,312155,48.95861242
French Polynesia,308872,174.7708464
New Caledonia,292991,95.67298501
Barbados,281995,128.5792934
Sao Tome and Principe,231856,87.61847566
Samoa,225681,151.7351599
Curacao,192077,11.431529
Saint Lucia,180251,147.1033446
Guam,172952,62.19904143
Kiribati,133515,130.9624211
Grenada,126183,72.76621144
Micronesia,115224,147.3502584
Jersey,111802,199.561597
Tonga,107773,179.90128
Seychelles,107660,49.37325331
Aruba,106277,197.3888292
Saint Vincent and the Grenadines,103698,115.9710305
United States Virgin Islands,98750,127.95308
Antigua and Barbuda,94298,117.1533675
Isle of Man,84710,144.3262876
Andorra,80088,114.0147983
Dominica,73040,167.3087686
Cayman Islands,69310,199.4785516
Bermuda,64069,100.0542889
Guernsey,63544,111.9314568
Greenland,56643,148.0154362
Faroe Islands,53270,89.90179795
Northern Mariana Islands,49796,100.557702
Saint Kitts and Nevis,47755,176.8619268
Turks and Caicos Islands,46062,52.53132252
Sint Maarten,44222,84.38160094
American Samoa,43914,121.7782684
Marshall Islands,41996,112.5584018
Liechtenstein,39584,150.1069892
Monaco,36297,187.2582327
San Marino,33642,26.94882246
Gibraltar,32688,113.141369
Saint Martin,32077,171.6553284
British Virgin Islands,31538,171.6382174
Palau,18058,148.804336
Cook Islands,17044,196.2879178
Anguilla,15899,104.6513855
Nauru,12780,80.15379149
Wallis and Futuna,11502,165.1132897
Tuvalu,11396,184.3051665
Saint Barthelemy,10994,107.2148326
Saint Pierre and Miquelon,5840,152.9565928
Montserrat,4386,111.0529211
Falkland Islands,3791,77.28786745
Niue,1935,101.1205993
Tokelau,1893,76.04765075
Vatican City,518,159.0869701
