Country,AnnualTouristVisits(inmillions),FishComsumptionpercentage
France,117109000,14.383457493559128
Poland,88515000,58.84280843871976
Mexico,51128000,25.44475400059622
United States,45037000,6.120124728104884
Thailand,39916000,33.425455759188765
Italy,38419000,8.702855775453015
Czech Republic,37202000,97.74031309747902
Spain,36410000,57.38804296407916
Canada,32430000,11.813039995065555
Hungary,31641000,37.30644273033908
China,30402000,28.07572743719317
Croatia,21608000,15.198328333251343
Saudi Arabia,20292000,78.18140553153238
India,17914000,38.3071473457918
Turkey,15971000,22.82606004103706
Denmark,15595000,91.70200520955612
Slovak Republic,15299000,86.8090849429484
Austria,15091000,42.895331951497944
Egypt,13026000,56.90196138963163
Germany,12449000,47.78566722957624
Switzerland,11818000,70.89192347892917
United Kingdom,11101000,25.315378076533204
Ireland,10951000,35.76089577210895
Kyrgyz Republic,8508000,75.28982717003038
United Arab Emirates,8084000,22.344198709126236
Greece,7406000,71.12208412761544
Argentina,7399000,55.03983106088891
Netherlands,7265000,23.856650299014277
Uzbekistan,6749000,66.79408218800401
Russia,6359000,53.428766876633205
Brazil,6353000,70.45853093429825
"Macao SAR, China",5897000,59.47566060936659
Chile,5431000,78.1612405082475
Nigeria,5265000,42.33958394039968
Andorra,5207000,96.06604527381924
Romania,5023000,97.91492769328784
Bulgaria,4973000,24.653708477831543
Israel,4905000,50.220123567829205
Malaysia,4333000,80.06552871392043
Portugal,4208000,17.15395537841136
Cyprus,4117000,83.56445314625253
Japan,4115800,27.55641208030382
Indonesia,4053000,94.35373457276563
South Africa,3886600,82.96252818887903
Puerto Rico,3882000,9.91715950026034
Vietnam,3837000,5.176191566602814
Belarus,3598000,21.812382352232973
"Hong Kong SAR, China",3569000,56.15045466598561
Uruguay,3480000,56.111537634269936
Ukraine,3382000,53.61811467080003
Latvia,3204000,28.00765957605997
Morocco,2802000,5.586789305047365
Dominican Republic,2748000,75.42034143447947
Singapore,2742000,47.72192920651343
Albania,2658000,88.09788378063317
Belgium,2584000,41.76074957372827
Korea,2519000,5.395215145933473
Syrian Arab Republic,2424000,18.937465641499895
Lithuania,2284000,8.483474372039943
Kuwait,2161000,30.858604947771322
Ecuador,2108000,29.948944497075267
Kenya,2049000,62.87840901884968
Kazakhstan,2035000,19.088000237347643
Mozambique,2033000,24.731052464103502
Tunisia,2012000,73.52121409377249
Sweden,1957000,30.4208560087014
Lebanon,1936000,22.565102412274793
Bahrain,1909000,81.98391280492534
San Marino,1904000,13.648216265495087
Botswana,1830000,17.318615888242917
Australia,1828000,69.56169291385234
The Bahamas,1794500,47.71175395759156
Estonia,1695000,42.01799485024969
Rwanda,1634000,67.87534596217553
Iran,1550000,5.995935722794927
Tanzania,1527000,29.844311140968518
Georgia,1513000,76.46244758818246
Philippines,1483000,94.06138352906156
Norway,1397000,69.19004010403266
Colombia,1396000,52.35481768559641
Senegal,1376000,78.65612923234363
Jamaica,1329700,58.67992739074864
Cambodia,1306000,33.86309921865917
Jordan,1240000,50.687901507991675
Slovenia,1216000,34.9278313574055
Costa Rica,1146500,8.612109942293785
Lesotho,1142000,59.050170664235964
Peru,1119000,98.64759233188721
Cuba,1086000,40.45707352473662
Paraguay,1077000,69.57801122048541
Brunei,1071000,16.59896507389481
Tajikistan,1035000,13.801862965807413
Cameroon,1021000,65.13057892318174
New Zealand,996000,31.6836225576474
Barbados,966000,30.783330810331204
Pakistan,966000,89.57072780691092
Haiti,938000,24.333336490928325
Myanmar,903000,32.65547484204056
Ghana,897000,56.98684912502086
Finland,896000,73.04761099029461
Iraq,892000,54.24365063124563
Lao PDR,886400,74.69031880312387
Malawi,871000,10.602422740938202
Oman,869000,60.69195679102363
Sudan,836000,60.36543235140894
Azerbaijan,796000,64.66548153634977
Libya,760000,72.94230004413616
Malta,718000,28.108533163337903
El Salvador,707000,73.96864355350162
Honduras,669000,97.19350941477094
Côte d'Ivoire,668000,40.88775831907303
Cayman Islands,660000,21.119603739925587
Panama,647000,38.712023044669486
Zimbabwe,639000,62.46203756533976
Guatemala,594000,58.48222997853827
Algeria,591000,64.29238065670367
Qatar,582000,70.71083621068938
Sri Lanka,540000,46.01905663504978
Gabon,526000,22.09216248732508
Luxembourg,525000,63.619796136657804
Ethiopia,518000,45.181819848710695
Zambia,502000,65.09057572856861
Iceland,488000,90.89166890981181
Belize,487000,61.92091232770128
Togo,482000,26.055456477848427
Nicaragua,474000,24.246757557040354
Uganda,473000,93.20308494490911
Serbia,446000,84.47597997495636
St. Lucia,432500,44.29665216306151
Venezuela,429000,93.45651228256159
Yemen,398000,32.984368645408324
St. Vincent and the Grenadines,392000,69.01153850138704
Antigua and Barbuda,384500,73.13986971252729
Turkmenistan,380000,70.44230207417176
Armenia,375000,30.158532632531674
Dem. Rep. Congo,351000,88.77219728227907
Montenegro,351000,30.86464513149578
Eswatini,345300,31.236723469021687
Benin,337000,85.05362190540136
Bolivia,323300,99.11310460427255
Bangladesh,323000,70.74084106435069
Mauritius,316000,23.69646791443741
St. Kitts and Nevis,301400,11.45169361436903
Burundi,299000,65.55862257848239
Suriname,279000,96.45954382620627
The Gambia,246000,96.5410037741426
Nepal,230000,42.167344074635544
Angola,218000,91.34813300611681
Mali,217000,27.430608344247233
Grenada,217000,71.35824319374551
Bosnia and Herzegovina,197000,27.46641728970996
Namibia,187100,6.167377416330987
